,accountId,id,name,profileIconId,puuid,revisionDate,status.message,status.status_code,summonerLevel
35,lGSNrYg2MgPwEdOUMlPawNuK26JfZ6GV3uYiXt6C0OYTZMA,I3wjarcSmJdcSpk2d49bO_BjTpiFTJk-vgcijciO4girhuY,미북이,4498.0,vNQlUDLSdqw_0u1Zk9tzv4_2L27H7Yq0wQDM6p4ane6FjQVcuoQa5b2iyb_KcKe6QthfnZwhWO9UEQ,1596018834000.0,,,310.0
36,agtQa1hSFs4Bz9W12n0IvEFs3bI4A_HXyxKQ_tBffoyZavVZXyM-e2Am,M7_smkAB-qgHF3nL2vUom9n6BcHRca7va36mNxOdaF4cIYg,Yunqi,29.0,oW9VUFaDSedl-SZgdj5KKd3p0ARKzxHSaoVbKS8MGRUkuiJXXV4TzVEc_xBiRu4EoJEg7-QS6A4iUw,1596079087000.0,,,73.0
37,KhhtVX9RsBLoDxRCwj0l5Th_-xAb2FrkU0HomvzuGThnpe8CZRP7kztd,TZR7HgUZc2ErC8Jm-uy-odUedgqUS0zqB9wdgJvNtP1y0YI,손연우 사랑해,4277.0,9Id6K88CmGuz1n06DGqacmstTSqgs7CTDUch7iucSUQNHbJicc6WCuoAvMg7LbPB3_RFgVRnHU2rMQ,1596103255000.0,,,64.0
38,KerueMIhlVOukEd0bp5k-pXDco-gy_QY3JNN-qLU3-7p6jY,VmNWqOfDyceaZSJYq2C3PYLxvr-dvruFWjvIpTxtcAIm5Jo,hearer,924.0,fmWjpdZvXrS5GZA0J8-hQPxbVeTdoXpelnwG2vra9nMcPnUwYcEC_-0KQJHVVvXX2G81I5IqJSZ77w,1596087376000.0,,,191.0
39,B0YBK1wCNNubEk-tRp7qmN601ubjdWLO6C7bkRFH50clSkA,XoeObrc8p2RKmU1fglPJXxMrJyhQjs2kupP9_jiMlcZ1X4E,사 용 수,3872.0,DmKcpgjE_Wa1rTARSb_q_qrjobhJ_PAIOzANeo8Xzicb4F-nb-v8m6fRyftizZe1IKCtn5WgEOb1TA,1595924776000.0,,,396.0
40,uxw-UIIeBnEJXU0hcfnkvroH0R2ZHxS1QsZtENZ8YAkfkrX2xtLNzY9b,bt_2zQdRqK6KdbhoqrECp4QOxOYGqm9BkvqE-czYe5zyc90,NO BB TOP KING,4574.0,awhW2W8p6drqfH6ELd0_eq0xSsPOb3Za9ZdpfZfwTGsRC2p3R5dZrqG2HF1Z9Hf2V0Or0AULKedxTQ,1596009695000.0,,,122.0
41,Zdt8YeN6HZRlCJpp120htsxNUT9QfbKod87l7Tn1RnfIY5bIDayhKvuH,ALuRu8XP-68rKsbVSdqdvf-o4U8B_hP4fOVvZfssS5kaId2X,SKT T1 Windy,4653.0,ctFMOJBStbxLydCnVtnMC3iiiH3GOhNvWUsWBeBVfGsT7RjyrW1qcP9ZLNS_qtZGC8z23VwvdENevQ,1596059110000.0,,,76.0
42,wGbgva6l8zRyifxJM8MvEhSAyIOxwXAh2kxOCHRyJjT-,0z3AFG6Jz8AAU3yi4sIq3-kVdpEzgW5Kv4YYlCE3akIOlA,MAI WAY,3599.0,ktjfP1klnKYHStX1uTR9NOh3K4ziI2pLxwT8FtiOdJsgTRsrNBECNqUFXtY1DsS8bg90Y18Bh2L8Lg,1595980371000.0,,,124.0
43,jEpCcGbBwwhtFK6gY12xUMEcvzB_MiM-txiFaEObxDJc,H-3XzdQ35WSutyq3UIw8Uw-BPG6OqiWQ2O_Kc6QmXFWxzQ,땅우양유튜브구독,1413.0,cKVerwqd0xFMCXKnpNowidCQ_PdTulkurd7OzOY1y_39V5KZunQnWhUQ4gCiAIjnaWIWqWRZIPFt4A,1596061805000.0,,,273.0
44,DBtT0WFlzG2OIDDnpVHCXZ0VR6gyCu7PuK0TUOFuTN7FRymylM6TGWNO,eYVxP0Vg9Sh1rfOym946_DFtB48WDSian8dAVelFqlLHLjw,피즈 조이,4560.0,3K-pIL2CuWD-nkH0Q7hoM5CzsDlpEmMNievPgyNpvk8mbuCw4BxU2ZHW--JS6S4j1w4Lekzp0mMw2A,1595995425000.0,,,210.0
45,5D3JX9Z-M1EqF0744y5Bd0JRGNh8q_SXiqk9RASh3YwLKpV5S7CHKr0O,VGS8cy4OsUbuhz1tTmXKv2fLgulv0MUvqI_eq3bRTCD8ADo,정중지와1,4.0,CEoAxbehc_q11NxJujGADnTXXnqVPPx5Ogs9-B6B7m29vfnS7UqLnykoWIB9Di7n29ODZpB2sluwkg,1596085362000.0,,,77.0
46,KXxJQW73_CNDOM3nTGYxHfP5W4Y7reCZ2CnYegz168pbTGA,fVZL9-647TNjVNz36awdURCIkIg9Tfkz2r4s17EQ1OZaUVo,칼과 창 방패,3495.0,TJqzARm0tQtOogmNGdjbJPjA6Ypd5pFal0UsHdaS36wbpzSqBXSKSN0xiHn127vsksfX4lNihHnUHg,1596114403000.0,,,358.0
47,Rdmf8-0fCxqZ5DugvN0gmAiD1w9r0PTF074m1d4PCWMwWRI,CT-vwr7SnlI_lWqZCTA1Xcxrymt4HQXYYaUxkMxjeWia8IQ,SANDBOX OnFleek,3951.0,7FFtuOc1awoADDFKAfWm2S8576NsUKx8koatud_kSp1mrPzPq6dnqH6Q26qk91N0svzWCVWc1TN91w,1595719799000.0,,,269.0
48,US4rfIAiv_s_9uvI9lpOChRnPQMfgqDk2Lq9NZT66Za_qxE,-_UGTTXVnL8_c9szke_GXVm9ucYtIpfkBGEWkYuYNch57lg,DRX Keria,4633.0,MvlnjsIA24ONaPx5nU_zOlxT3Yq5xaj5V1fxCytiqjDQGFCBVEgK3r9ar6_XRDvDXw2q_QLDhJnyag,1595682034000.0,,,457.0
49,0tZcrDL9KprxWQK5ZeiCp93NcbUCzw1vcEI52EhSjmvklctGRCUKTrdj,jFgB9PDeXMET8CkVE0-IxZ2O44-j7FcovzvGaXuP68HngRM,MapleStory275LV,29.0,DLEYYtTd7Q2-pez-CGMoaLPXaSQFnVHuswNpeTXLJ2I7qjwP39VYgQDa_mGi4HXuvz9Sp8gzf841LQ,1596079906000.0,,,111.0
50,rXwATcIKHD8rx6txN7jkAnrEhx7uP7gV_T-cvUaPvqmQTCs,0OrE7b8_kuBwI7NrP4C36Vk-C7kKVfuWrOBumvGRaIXYlRM,solcalol,3846.0,gXaXhkfliWvN9fRsM3F_KMuW1bmzgilzQMAEfmcLWe4GGHOB5AL4cjQbvgpIiUTgHFGmwrB8yVYcTA,1595939279000.0,,,198.0
51,7dW-E57I7MhGb5QOERSFv0HShtOrpY3MH-fK-F07OpPvFVc,0MMgIPZx1IwiTbFAZCaA-pp29CJgUccGzUkRfkB3kHnr4i4,태기베어,4.0,lvAut-QHhwCmlQvL_8Zv2CrId-FzBjho1Qz7VfGA2nfDuxq_VAynnWmTHWyGVZuqx7OPAo0zrdw41g,1595655154000.0,,,353.0
52,EYEYfc8RbwHBXUYdsHkv5evF4uVUQHaO_fcxLkzhaNVxp-_Kqgp-XxuV,ZDUPr6EUplLzokuOrfppEM3mmB7yUXMHFPgS4g5ikq34IFY,YukiJudaii,4.0,o94MKX9Zo2orKRrO0zodNDVA_NZTizRvoQvt7ztdPp8BqH-U1_qaKxZTjJdnVzd1Lrn4JfQ-tc6XaQ,1595906173000.0,,,61.0
